,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Action
233,2.325395458,-0.310304718,-5.399721222,-2.52973938,5.971001559,0
234,2.335367458,0.2134561157,-5.502707062,-2.466121674,6.033830013,0
235,2.345340458,1.164727936,-5.182672577,-2.622995453,5.924254497,0
236,2.355313458,2.757415924,-4.127217407,-3.315156097,5.968879799,0
237,2.365285458,5.852679291,-2.253713379,-3.944746857,7.409055718,0
238,2.375258458,11.1092981,0.02993774414,-4.5095224,11.98971195,0
239,2.385231458,17.43199997,2.675536194,-4.703219604,18.25249001,0
240,2.395203458,23.76682663,6.434369659,-4.973707123,25.11973176,0
241,2.405176458,29.45380051,11.29745682,-6.210435333,32.15164695,0
242,2.415148458,34.63288055,14.52489532,-8.368347931,38.47646354,0
243,2.425121458,39.00753342,14.1867485,-11.66329605,43.11477671,0
244,2.435094458,41.17742111,11.88782913,-14.4043959,45.21489923,0
245,2.445066458,40.5843544,9.656269684,-13.82689682,43.94902094,0
246,2.455039458,37.11322266,8.515641632,-10.3647464,39.46308929,0
247,2.465012458,31.53432404,8.382568359,-5.818999329,33.14425739,0
248,2.474984458,25.70888809,8.214767303,-1.368603973,27.02410786,0
249,2.484957458,21.03291183,7.267537079,2.234104156,22.36496584,0
250,2.494929458,17.50385056,6.117328949,4.668940887,19.12081344,0
251,2.504902458,14.50588486,5.326822815,5.971831512,16.56678932,0
252,2.514875458,11.57976974,4.67328186,6.564898224,14.10774679,0
253,2.524847458,8.720715179,4.080813904,6.424190826,11.57472,0
254,2.534820458,6.150859222,3.558549957,5.843099213,9.199899748,0
255,2.544792458,3.75598938,3.169059906,5.283413086,7.21559774,0
256,2.554765458,1.369502106,3.070115662,4.82312027,5.879084566,0
257,2.564738458,-0.512384491,3.170257416,4.374802551,5.426966677,0
258,2.574710458,-1.839524689,3.152145081,3.905079346,5.34504578,0
259,2.584683458,-2.706671448,2.940485229,3.474275208,5.29557475,0
260,2.594656458,-3.316503296,2.619253235,3.146905975,5.269032059,0
261,2.604628458,-3.911366272,2.401156769,2.92521698,5.442539327,0
262,2.614601458,-4.540657654,2.206561432,2.742447052,5.745215498,0
