,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Action
7420,28.12317641,-6.083452702,-1.458126307,-4.010071754,7.430693411,0
7421,28.13504115,-6.404090881,-1.93190515,-4.625326157,8.132544472,0
7422,28.14690583,-7.086643219,-2.348555326,-5.025226593,8.999395899,0
7423,28.15877057,-7.857431412,-2.963809967,-5.628517151,10.10957978,0
7424,28.17063526,-8.812766075,-3.821038723,-7.220641613,12.01677362,0
7425,28.1825,-9.313164711,-4.273581028,-8.563612938,13.35417531,0
7426,28.19436474,-10.10309505,-4.637290478,-8.597112656,14.05301885,0
7427,28.20622943,-10.23230743,-5.013262749,-8.949156761,14.48862746,0
7428,28.21809417,-10.26102161,-5.417948723,-9.475876808,14.98115397,0
7429,28.22995886,-10.10309505,-5.370092392,-9.468698502,14.85148724,0
7430,28.24182359,-10.17966557,-5.245366573,-8.288438797,14.13639555,0
7431,28.25368833,-10.00020409,-4.60379076,-7.553243637,13.35104717,0
7432,28.26555302,-9.490233421,-3.583850145,-7.725826263,12.75134909,0
7433,28.27741776,-8.348258972,-2.463410854,-7.740182877,11.64784323,0
7434,28.28928245,-7.608577728,-1.611266971,-7.139285564,10.55727402,0
7435,28.30114719,-7.16321373,-1.034297585,-6.746563435,9.894317592,0
7436,28.31301188,-7.234998226,-0.6750751138,-7.110571384,10.16666864,0
7437,28.32487662,-7.656434059,-0.4621138871,-7.512565613,10.73653454,0
7438,28.33674136,-8.11824894,-0.2129612118,-8.079963684,11.45587759,0
7439,28.34860604,-8.807980537,0.2033899277,-9.2362957,12.76444464,0
7440,28.36047078,-9.17886734,0.7851449251,-9.349057198,13.12527823,0
7441,28.37233547,-9.370592117,1.130010486,-8.791230202,12.89847467,0
7442,28.38420021,-10.03609657,1.67587316,-7.596613884,12.69804425,0
7443,28.3960649,-10.97228813,2.300698996,-6.794419765,13.10909847,0
7444,28.40792964,-11.8531456,2.662314177,-7.206284523,14.12499607,0
